,date,PRCP,TMAX,TMIN
0,2000-01-01,0.0,10.6375,-3.4125
1,2000-01-02,0.31,15.2125,1.325
2,2000-01-03,23.47,15.8375,5.762499999999998
3,2000-01-04,19.610000000000007,13.0,-0.5624999999999998
4,2000-01-05,0.34,0.2875000000000001,-5.5
5,2000-01-06,0.0,1.3125000000000002,-5.700000000000001
6,2000-01-07,0.0,5.2125,-4.1625
7,2000-01-08,0.06,3.625,-5.625
8,2000-01-09,0.0,7.3125,-1.7375000000000005
9,2000-01-10,0.59,9.175,2.6875
10,2000-01-11,0.09,9.725,1.6124999999999998
11,2000-01-12,0.06,6.112500000000002,-4.500000000000001
12,2000-01-13,0.59,7.7125,-4.5875
13,2000-01-14,0.05,-0.2750000000000001,-10.4
14,2000-01-15,0.0,3.3375000000000004,-7.299999999999999
15,2000-01-16,0.0,9.2375,-2.0
16,2000-01-17,1.12,3.475,-8.55
17,2000-01-18,2.52,-2.575,-7.787499999999999
18,2000-01-19,3.4799999999999995,-0.7124999999999999,-8.8875
19,2000-01-20,5.339999999999999,-0.6874999999999999,-11.0875
20,2000-01-21,0.16,-6.612500000000002,-19.3125
21,2000-01-22,1.33,-7.362500000000002,-17.924999999999994
22,2000-01-23,3.91,-1.7999999999999998,-12.8375
23,2000-01-24,0.03,-2.8000000000000003,-18.125
24,2000-01-25,0.06,-6.7625,-18.5375
25,2000-01-26,0.6499999999999999,-5.35,-16.5125
26,2000-01-27,0.0,-7.15,-20.2875
27,2000-01-28,0.0,-5.4125000000000005,-19.6625
28,2000-01-29,2.13,-2.85,-15.9625
29,2000-01-30,2.9400000000000004,-1.825,-7.7125
30,2000-01-31,0.42,-2.2124999999999995,-6.6000000000000005
31,2000-02-01,0.06,-1.3125,-6.4625
32,2000-02-02,0.0,-0.3375,-12.725
33,2000-02-03,1.5299999999999998,2.3625000000000003,-9.1625
34,2000-02-04,0.49,3.6125000000000007,-3.5500000000000003
35,2000-02-05,0.25999999999999995,0.2,-9.9375
36,2000-02-06,0.0,0.8375,-10.575
37,2000-02-07,0.0,3.6125,-8.2625
38,2000-02-08,0.0,5.0625,-9.5125
39,2000-02-09,0.0,7.362500000000002,-7.7
40,2000-02-10,2.67,10.962500000000002,0.7124999999999999
41,2000-02-11,2.1100000000000003,8.612499999999999,-0.9249999999999998
42,2000-02-12,0.0,2.3000000000000003,-6.162500000000001
43,2000-02-13,6.960000000000001,3.6125,-4.6625000000000005
44,2000-02-14,10.97,2.4375,-2.225
45,2000-02-15,0.16,2.9125,-4.449999999999998
46,2000-02-16,0.0,8.274999999999999,-2.5625000000000004
47,2000-02-17,0.58,2.8375,-6.6125
48,2000-02-18,28.270000000000003,4.0875,-4.7875000000000005
49,2000-02-19,11.1,3.2000000000000006,-2.625
50,2000-02-20,0.0,2.2875000000000005,-2.3375
51,2000-02-21,0.05,6.812500000000001,-6.125
52,2000-02-22,0.8899999999999999,13.014285714285714,-0.942857142857143
53,2000-02-23,0.05,16.7375,6.8875
54,2000-02-24,6.08,19.8625,8.950000000000003
55,2000-02-25,0.3,20.7625,9.5
56,2000-02-26,4.5,22.012500000000006,11.3125
57,2000-02-27,12.5,17.075,6.525
58,2000-02-28,0.0,11.8875,-1.0625
59,2000-02-29,0.0,15.4,0.9125
60,2000-03-01,0.24000000000000005,17.3625,2.9125
61,2000-03-02,0.05,11.874999999999998,-0.35000000000000003
62,2000-03-03,0.64,7.85,-3.75
63,2000-03-04,0.28,9.5875,-3.95
64,2000-03-05,0.0,16.02857142857143,-1.442857142857143
65,2000-03-06,0.0,19.7375,1.0375
66,2000-03-07,0.0,22.625,3.9
67,2000-03-08,0.0,25.7,8.9
68,2000-03-09,0.0,24.1125,8.6125
69,2000-03-10,0.08,12.7625,-0.4000000000000001
70,2000-03-11,3.4799999999999995,4.8625,-1.6625
71,2000-03-12,6.299999999999999,2.5,-7.0
72,2000-03-13,0.0,6.9375,-4.925
73,2000-03-14,0.14,10.2,-1.0625
74,2000-03-15,0.46,16.3375,2.15
75,2000-03-16,8.6,17.65,1.8
76,2000-03-17,7.19,5.2,-3.125
77,2000-03-18,0.23,6.1125,-4.7125
78,2000-03-19,7.55,8.8125,-0.9125
79,2000-03-20,15.72,10.9,4.5875
80,2000-03-21,2.14,11.249999999999998,4.7875000000000005
81,2000-03-22,0.0,14.0875,2.175
82,2000-03-23,0.0,16.750000000000004,2.3625
83,2000-03-24,0.0,20.9,4.9375
84,2000-03-25,0.0,22.55,8.8
85,2000-03-26,0.0,18.825,3.2125
86,2000-03-27,5.05,17.212500000000002,4.6625
87,2000-03-28,1.84,11.800000000000002,2.45
88,2000-03-29,1.2200000000000002,8.7375,-0.5499999999999999
89,2000-03-30,0.03,12.2125,-1.3250000000000002
90,2000-03-31,0.0,14.45,-1.4625
91,2000-04-01,0.0,17.987499999999994,-0.2
92,2000-04-02,2.79,18.325,6.3875
93,2000-04-03,1.66,15.4125,10.275
94,2000-04-04,3.2,13.4,2.5125
95,2000-04-05,0.62,9.437499999999998,-2.1
96,2000-04-06,0.0,16.675,2.925
97,2000-04-07,15.580000000000002,16.7375,6.1
98,2000-04-08,21.31,14.9875,0.275
99,2000-04-09,0.11,11.05,-3.2
100,2000-04-10,0.0,14.2375,-0.3499999999999999
101,2000-04-11,4.45,11.525,3.4625
102,2000-04-12,0.36,9.15,-0.775
103,2000-04-13,0.0,12.8625,0.4125
104,2000-04-14,0.0,18.6125,3.0625
105,2000-04-15,0.0,22.3,7.5625
106,2000-04-16,0.0,22.8375,7.475
107,2000-04-17,8.549999999999999,18.1125,8.05
108,2000-04-18,1.24,13.3875,6.4625
109,2000-04-19,0.0,17.1625,6.9625
110,2000-04-20,9.87,21.1125,9.45
111,2000-04-21,12.5,18.4125,5.7
112,2000-04-22,0.39,11.2625,3.7
113,2000-04-23,0.1,18.475,2.3
114,2000-04-24,1.2000000000000002,17.837500000000006,7.624999999999999
115,2000-04-25,0.74,18.525,4.9125
116,2000-04-26,0.0,18.9625,1.5999999999999996
117,2000-04-27,0.1,19.45,2.9875000000000003
118,2000-04-28,0.0,20.2125,3.725000000000001
119,2000-04-29,0.05,20.5375,5.075
120,2000-04-30,0.2,23.0,5.125
121,2000-05-01,5.659999999999998,23.6,7.0875
122,2000-05-02,7.45,20.762500000000006,7.087500000000001
123,2000-05-03,0.51,22.925,8.6
124,2000-05-04,5.48,25.625000000000004,12.2125
125,2000-05-05,3.3199999999999994,27.0125,15.9125
126,2000-05-06,0.0,28.262500000000006,15.975
127,2000-05-07,0.13,28.7375,17.15
128,2000-05-08,0.7899999999999999,28.0625,18.7375
129,2000-05-09,6.35,28.6125,17.912499999999994
130,2000-05-10,13.970000000000002,25.2125,9.9375
131,2000-05-11,0.46,24.1875,11.1125
132,2000-05-12,1.59,28.050000000000004,17.575
133,2000-05-13,13.43,26.6,14.525
134,2000-05-14,0.49,18.9625,5.5875
135,2000-05-15,0.0,19.3,4.928571428571429
136,2000-05-16,0.59,21.1875,8.2
137,2000-05-17,3.34,22.5125,9.45
138,2000-05-18,3.1800000000000006,25.2125,15.2125
139,2000-05-19,12.05,24.5125,13.8875
140,2000-05-20,0.43,17.625,9.775000000000002
141,2000-05-21,0.0,16.5875,9.3625
142,2000-05-22,1.52,21.7375,9.9125
143,2000-05-23,4.57,24.45,13.75
144,2000-05-24,2.82,27.3625,13.75
145,2000-05-25,0.5,27.5125,12.7125
146,2000-05-26,3.53,23.8125,9.3
147,2000-05-27,14.13,24.0375,13.6
148,2000-05-28,10.779999999999998,21.95,14.375
149,2000-05-29,0.7,20.275,10.4125
150,2000-05-30,0.0,23.6,11.5875
151,2000-05-31,0.0,26.375,14.85
152,2000-06-01,0.08,29.725,17.2875
153,2000-06-02,1.02,29.95,18.7625
154,2000-06-03,0.0,25.75,9.925
155,2000-06-04,0.05,23.0625,9.175
156,2000-06-05,8.129999999999999,21.5875,12.3625
157,2000-06-06,3.25,19.3,8.25
158,2000-06-07,0.03,22.8,8.2875
159,2000-06-08,0.0,27.087499999999995,13.562499999999998
160,2000-06-09,0.0,30.125,16.3875
161,2000-06-10,0.03,31.6,18.5875
162,2000-06-11,3.7399999999999993,31.3375,20.7125
163,2000-06-12,6.299999999999999,29.925,21.55
164,2000-06-13,4.6000000000000005,30.7,21.1125
165,2000-06-14,10.080000000000002,30.625,21.05
166,2000-06-15,10.03,28.975,19.15
167,2000-06-16,6.39,27.3625,19.15
168,2000-06-17,28.59,26.5875,17.5
169,2000-06-18,11.16,23.05,15.624999999999998
170,2000-06-19,1.0,23.5375,12.85
171,2000-06-20,1.17,27.3625,15.4125
172,2000-06-21,16.56,27.912500000000005,17.700000000000006
173,2000-06-22,0.74,27.2375,17.775
174,2000-06-23,1.27,29.3125,16.124999999999996
175,2000-06-24,4.83,30.15,18.8
176,2000-06-25,9.959999999999997,29.012500000000006,19.7875
177,2000-06-26,2.8,28.9625,18.6
178,2000-06-27,10.76,27.15000000000001,16.3
179,2000-06-28,1.7,25.425,12.837500000000002
180,2000-06-29,0.53,24.8625,14.7375
181,2000-06-30,0.43,25.375,12.150000000000002
182,2000-07-01,0.0,26.4,13.05
183,2000-07-02,0.05,28.6,17.075
184,2000-07-03,14.43,29.85,19.4625
185,2000-07-04,5.01,29.5125,20.5625
186,2000-07-05,7.49,29.9375,21.0625
187,2000-07-06,2.99,28.950000000000006,19.925
188,2000-07-07,1.6,27.925,15.9875
189,2000-07-08,0.0,27.9875,13.4625
190,2000-07-09,0.03,29.0875,15.7625
191,2000-07-10,0.41,30.075,19.375
192,2000-07-11,1.17,28.75,20.4625
193,2000-07-12,3.33,27.2375,16.95
194,2000-07-13,0.0,28.6125,17.4875
195,2000-07-14,0.33,29.85,18.825
196,2000-07-15,0.0,29.3,16.95
197,2000-07-16,0.0,27.425,15.0
198,2000-07-17,0.0,28.175000000000004,15.275000000000002
199,2000-07-18,0.03,29.0875,16.8625
200,2000-07-19,7.24,27.2125,15.9
201,2000-07-20,0.23,24.3625,13.624999999999998
202,2000-07-21,0.0,24.875,14.7375
203,2000-07-22,0.0,25.625,12.1
204,2000-07-23,0.0,25.5,12.025
205,2000-07-24,0.0,26.3375,12.9125
206,2000-07-25,0.0,27.2125,12.062500000000002
207,2000-07-26,0.0,28.475000000000005,14.5125
208,2000-07-27,0.0,30.2875,16.474999999999998
209,2000-07-28,1.56,30.35,18.7875
210,2000-07-29,9.28,28.1875,19.0
211,2000-07-30,27.1,25.55,18.88571428571429
212,2000-07-31,0.8,27.1625,18.8
213,2000-08-01,2.5700000000000003,28.125000000000004,18.8125
214,2000-08-02,5.44,29.7125,18.8
215,2000-08-03,10.919999999999998,27.1,16.4375
216,2000-08-04,1.6,26.300000000000004,15.0875
217,2000-08-05,2.13,26.0375,13.6
218,2000-08-06,11.78,27.6375,17.3
219,2000-08-07,13.919999999999998,29.725,20.0875
220,2000-08-08,1.81,29.025,21.1125
221,2000-08-09,5.08,28.675,21.325
222,2000-08-10,5.06,30.275,17.2375
223,2000-08-11,0.0,28.325,15.6875
224,2000-08-12,0.0,27.075,13.6125
225,2000-08-13,0.0,26.187500000000004,13.1875
226,2000-08-14,0.0,26.7375,14.575
227,2000-08-15,0.0,30.6125,18.200000000000006
228,2000-08-16,0.0,31.112500000000004,18.2125
229,2000-08-17,6.709999999999999,28.02857142857143,16.599999999999998
230,2000-08-18,16.740000000000002,26.3125,17.0875
231,2000-08-19,0.1,25.5,12.15
232,2000-08-20,0.0,23.700000000000006,11.5875
233,2000-08-21,0.0,24.6,11.125
234,2000-08-22,0.69,26.9375,13.2625
235,2000-08-23,5.8199999999999985,28.950000000000006,17.7
236,2000-08-24,10.34,27.9,18.6875
237,2000-08-25,0.0,27.85,14.45
238,2000-08-26,0.48,28.262500000000006,14.9875
239,2000-08-27,13.02,27.45,16.75
240,2000-08-28,0.0,27.225000000000005,16.662499999999998
241,2000-08-29,0.0,27.3875,17.4375
242,2000-08-30,0.0,30.4125,17.912499999999994
243,2000-08-31,0.0,31.3875,17.975
244,2000-09-01,0.0,31.65,15.975
245,2000-09-02,0.0,32.075,17.225
246,2000-09-03,0.13333333333333333,31.525,19.825
247,2000-09-04,26.58333333333333,29.175,18.75
248,2000-09-05,0.0,23.225,12.9
249,2000-09-06,0.0,24.175000000000004,10.4
250,2000-09-07,0.0,27.5,13.75
251,2000-09-08,0.9333333333333332,27.075000000000006,17.625
252,2000-09-09,3.6833333333333336,26.375,19.875
253,2000-09-10,21.133333333333333,27.625,21.125
254,2000-09-11,12.35,24.975,20.725
255,2000-09-12,18.433333333333334,27.225,16.8
256,2000-09-13,0.85,25.725,11.0
257,2000-09-14,0.5499999999999999,25.275,11.4
258,2000-09-15,0.13333333333333333,21.825,10.15
259,2000-09-16,0.0,19.45,4.975
260,2000-09-17,0.0,21.775,6.95
261,2000-09-18,0.0,25.825000000000006,9.15
262,2000-09-19,0.0,28.475,11.525
263,2000-09-20,4.016666666666667,29.425,12.5
264,2000-09-21,7.899999999999999,24.3,9.025
265,2000-09-22,0.0,25.675,7.800000000000002
266,2000-09-23,2.7,26.95,13.625
267,2000-09-24,6.6000000000000005,21.925,13.725
268,2000-09-25,13.416666666666664,14.433333333333335,8.333333333333334
269,2000-09-26,19.15,15.333333333333336,3.8666666666666667
270,2000-09-27,0.0,20.933333333333334,5.366666666666666
271,2000-09-28,0.0,20.733333333333334,7.7666666666666675
272,2000-09-29,0.0,21.5,5.533333333333334
273,2000-09-30,0.0,23.53333333333333,6.1000000000000005
274,2000-10-01,0.0,24.75714285714286,8.185714285714287
275,2000-10-02,0.0,26.74285714285714,12.528571428571427
276,2000-10-03,0.0,27.942857142857147,13.257142857142856
277,2000-10-04,6.57,24.842857142857145,13.742857142857142
278,2000-10-05,34.980000000000004,19.285714285714285,13.157142857142858
279,2000-10-06,8.530000000000001,15.857142857142856,7.914285714285714
280,2000-10-07,0.18,11.216666666666667,0.2
281,2000-10-08,0.26,9.914285714285716,-0.0285714285714286
282,2000-10-09,0.05,10.871428571428574,1.3714285714285714
283,2000-10-10,0.0,14.985714285714286,1.2
284,2000-10-11,0.0,18.271428571428565,1.585714285714286
285,2000-10-12,0.0,20.8,1.0285714285714287
286,2000-10-13,0.0,23.02857142857143,4.114285714285714
287,2000-10-14,0.0,24.942857142857147,9.614285714285714
288,2000-10-15,3.0,23.42857142857143,11.042857142857144
289,2000-10-16,0.51,19.314285714285713,10.971428571428573
290,2000-10-17,7.1099999999999985,16.84285714285714,11.2
291,2000-10-18,2.1100000000000003,18.171428571428574,4.842857142857143
292,2000-10-19,0.0,20.87142857142857,5.242857142857141
293,2000-10-20,0.0,22.928571428571434,6.2714285714285705
294,2000-10-21,0.0,23.98333333333333,7.966666666666666
295,2000-10-22,0.0,23.642857142857146,9.428571428571429
296,2000-10-23,0.05,23.185714285714287,11.271428571428574
297,2000-10-24,2.64,23.642857142857146,13.342857142857143
298,2000-10-25,0.38,22.316666666666666,13.433333333333332
299,2000-10-26,0.0,23.642857142857146,12.542857142857144
300,2000-10-27,0.18,25.385714285714283,13.114285714285714
301,2000-10-28,0.0,21.6,8.571428571428571
302,2000-10-29,0.0,15.385714285714286,1.2857142857142858
303,2000-10-30,0.0,16.74285714285714,1.2714285714285716
304,2000-10-31,0.03,19.312500000000004,4.1625
305,2000-11-01,0.0,21.725,7.15
306,2000-11-02,0.03,22.6375,10.6875
307,2000-11-03,0.33,21.8,10.55
308,2000-11-04,0.0,17.3625,5.550000000000002
309,2000-11-05,0.0,14.225,-0.14999999999999994
310,2000-11-06,3.0,14.925,2.775
311,2000-11-07,6.1099999999999985,15.6125,7.0875
312,2000-11-08,0.57,16.7875,7.625
313,2000-11-09,20.66,17.4875,7.0125
314,2000-11-10,12.169999999999998,14.9375,2.9
315,2000-11-11,0.05,7.4375,1.4
316,2000-11-12,0.0,10.7,1.1875
317,2000-11-13,7.730000000000001,10.15,2.2875
318,2000-11-14,0.9399999999999998,5.6125,-0.6375
319,2000-11-15,0.03,4.3625,-1.7375
320,2000-11-16,0.03,8.075000000000001,-1.125
321,2000-11-17,0.13,7.1625,-2.5
322,2000-11-18,0.0,1.1124999999999998,-4.1625
323,2000-11-19,0.0,5.124999999999999,-4.6625
324,2000-11-20,0.05,5.7875000000000005,-3.95
325,2000-11-21,0.18,-2.4875000000000007,-7.7625
326,2000-11-22,0.03,-0.7625000000000001,-9.375
327,2000-11-23,0.05,3.2,-8.675
328,2000-11-24,0.0,4.7125,-6.65
329,2000-11-25,9.8,7.7125,-3.8125
330,2000-11-26,6.29,7.775,1.8625000000000005
331,2000-11-27,0.94,5.625,0.275
332,2000-11-28,0.18,5.000000000000001,-1.8125
333,2000-11-29,0.43,6.574999999999998,-2.3625000000000003
334,2000-11-30,0.5399999999999999,5.075000000000001,-1.1875
335,2000-12-01,0.76,3.9625,-1.2375
336,2000-12-02,0.91,2.15,-4.175
337,2000-12-03,0.36,0.6875,-7.487500000000002
338,2000-12-04,0.0,2.025,-7.575
339,2000-12-05,0.05,1.325,-7.0875
340,2000-12-06,0.03,-2.9875,-10.0125
341,2000-12-07,0.53,-0.6374999999999997,-8.075
342,2000-12-08,0.96,2.85,-5.624999999999999
343,2000-12-09,0.0,0.575,-11.3375
344,2000-12-10,0.58,1.7375,-8.3375
345,2000-12-11,13.01,6.4,-1.0375
346,2000-12-12,15.669999999999998,2.7750000000000004,-9.1125
347,2000-12-13,6.22,-4.800000000000002,-11.5875
348,2000-12-14,8.379999999999999,-2.7125,-8.950000000000003
349,2000-12-15,0.14444444444444446,-1.5875,-10.225
350,2000-12-16,13.23,6.0375,-5.4750000000000005
351,2000-12-17,10.19,3.7625,-13.7625
352,2000-12-18,0.61,-5.762500000000001,-15.7
353,2000-12-19,4.5299999999999985,-5.2125,-14.85
354,2000-12-20,0.1,-7.699999999999998,-17.0875
355,2000-12-21,1.2666666666666666,-4.987500000000002,-14.299999999999995
356,2000-12-22,0.16,-7.9125,-19.1125
357,2000-12-23,0.0,-9.65,-19.2375
358,2000-12-24,0.05,-3.8125,-16.95
359,2000-12-25,0.0,-8.0625,-19.3875
360,2000-12-26,0.3444444444444444,-6.737499999999999,-18.05
361,2000-12-27,0.41,-5.775,-12.374999999999998
362,2000-12-28,0.1111111111111111,-5.9,-17.9125
363,2000-12-29,0.6444444444444444,-7.15,-14.65
364,2000-12-30,2.0900000000000007,-6.125,-11.750000000000002
365,2000-12-31,0.93,-3.95,-10.242857142857142
366,2001-01-01,0.63,-2.771428571428572,-10.542857142857144
367,2001-01-02,0.57,-3.3125,-14.725
368,2001-01-03,0.0,-3.3125000000000004,-16.3875
369,2001-01-04,0.18,-2.7,-11.6625
370,2001-01-05,0.05,1.7499999999999998,-4.1
371,2001-01-06,0.0,3.2625,-6.7375
372,2001-01-07,0.0,3.125,-5.562500000000001
373,2001-01-08,0.0,2.3,-6.65
374,2001-01-09,0.0,-2.15,-12.2125
375,2001-01-10,0.0,-0.20000000000000007,-11.875
376,2001-01-11,0.0,3.4,-7.725
377,2001-01-12,0.44,4.2375,-5.625
378,2001-01-13,0.0,4.0375,-4.85
379,2001-01-14,0.37,4.875,-2.9125
380,2001-01-15,0.86,5.625,-1.3625
381,2001-01-16,0.03,2.375,-1.1
382,2001-01-17,0.13,-0.012500000000000013,-2.5625000000000004
383,2001-01-18,0.0,1.5875,-3.1875
384,2001-01-19,1.38,3.2625,-2.65
385,2001-01-20,1.54,-0.20000000000000007,-8.325000000000001
386,2001-01-21,0.38,-2.575,-11.3375
387,2001-01-22,0.0,1.3375,-8.875
388,2001-01-23,0.0,4.362500000000002,-5.2875
389,2001-01-24,0.0,3.25,-5.487500000000002
390,2001-01-25,0.06,1.05,-8.25
391,2001-01-26,1.26,0.8375,-8.0375
392,2001-01-27,2.6,1.0375,-7.225
393,2001-01-28,0.05,-0.3857142857142857,-9.12857142857143
394,2001-01-29,4.869999999999999,4.312500000000001,-5.275
395,2001-01-30,7.759999999999998,8.4,1.5375
396,2001-01-31,3.43,5.762499999999998,0.7124999999999999
397,2001-02-01,0.03,3.9625,-3.1125
398,2001-02-02,0.08,1.3375,-12.8375
399,2001-02-03,0.03,-3.2,-11.9
400,2001-02-04,0.22000000000000006,4.1625,-4.8375
401,2001-02-05,1.17,3.4000000000000004,-0.5
402,2001-02-06,0.93,3.1375,-2.5
403,2001-02-07,0.13,6.9,-5.242857142857141
404,2001-02-08,1.23,10.5,-1.875
405,2001-02-09,10.97,16.05,4.0875
406,2001-02-10,9.86,10.7625,-5.425
407,2001-02-11,0.61,-0.7624999999999998,-7.987500000000002
408,2001-02-12,0.0,2.0125,-7.025
409,2001-02-13,0.43,5.825,-2.0874999999999995
410,2001-02-14,4.790000000000001,9.500000000000002,2.6375
411,2001-02-15,7.01,9.3625,1.4625
412,2001-02-16,3.38,2.975,-0.14999999999999974
413,2001-02-17,1.6900000000000002,0.9625,-8.262500000000001
414,2001-02-18,0.03,-3.075,-10.7
415,2001-02-19,0.0,4.1625000000000005,-7.7125
416,2001-02-20,0.05,10.0125,-1.875
417,2001-02-21,0.0,7.6375,-6.3
418,2001-02-22,1.05,-0.2125000000000001,-6.1125
419,2001-02-23,0.13,0.975,-4.375
420,2001-02-24,3.17,8.75,-2.0375
421,2001-02-25,17.560000000000002,16.3125,1.95
422,2001-02-26,0.0,11.2625,-2.1500000000000004
423,2001-02-27,0.0,6.5375000000000005,-1.6
424,2001-02-28,0.06,2.725,-6.1125
425,2001-03-01,0.0,3.45,-6.9625
426,2001-03-02,0.08,6.874999999999999,-2.2875
427,2001-03-03,0.0,7.012499999999998,0.925
428,2001-03-04,3.2,8.5375,0.2875
429,2001-03-05,1.6,4.449999999999998,-4.025
430,2001-03-06,0.23,1.175,-5.137499999999998
431,2001-03-07,0.0,4.074999999999998,-4.387499999999998
432,2001-03-08,0.0,6.387499999999998,-3.5250000000000004
433,2001-03-09,0.18,1.8875,-5.275
434,2001-03-10,0.0,5.687500000000001,-7.237500000000002
435,2001-03-11,0.38,11.037499999999998,-3.4625
436,2001-03-12,0.38,11.475,0.9625
437,2001-03-13,5.73,11.825,1.05
438,2001-03-14,0.99,10.625,0.14999999999999994
439,2001-03-15,0.36,13.187500000000002,2.65
440,2001-03-16,10.720000000000002,11.6125,2.15
441,2001-03-17,3.38,3.475,-0.9125
442,2001-03-18,0.13,4.6625,-5.8125
443,2001-03-19,0.0,8.887500000000003,-3.9625
444,2001-03-20,0.25999999999999995,10.55,-1.1125
445,2001-03-21,0.23,13.125,1.2625
446,2001-03-22,0.0,14.837500000000002,-1.6749999999999996
447,2001-03-23,0.0,14.5125,-0.375
448,2001-03-24,0.29000000000000004,11.5375,-0.6874999999999998
449,2001-03-25,0.18,2.7625,-6.325
450,2001-03-26,0.23,-1.6125,-10.075
451,2001-03-27,0.03,2.0125,-7.5625
452,2001-03-28,0.0,7.9375,-6.325000000000001
453,2001-03-29,0.92,10.475,-1.95
454,2001-03-30,1.0699999999999998,10.1375,0.4750000000000001
455,2001-03-31,1.98,13.675,0.7625000000000001
456,2001-04-01,4.709999999999999,12.725,0.07499999999999997
457,2001-04-02,0.0,11.937499999999998,-0.7625000000000001
458,2001-04-03,3.890000000000001,15.075,2.1500000000000004
459,2001-04-04,0.08,16.4,1.6874999999999998
460,2001-04-05,0.05,19.1,2.0875
461,2001-04-06,5.02,22.85,8.8875
462,2001-04-07,2.1000000000000005,25.35,15.8875
463,2001-04-08,0.21,28.250000000000004,17.900000000000006
464,2001-04-09,0.0,28.05,16.8125
465,2001-04-10,7.27,25.2,12.85
466,2001-04-11,17.07,22.85,13.9
467,2001-04-12,4.119999999999999,25.825,14.9875
468,2001-04-13,0.0,19.925,7.3
469,2001-04-14,0.38,20.425,5.699999999999998
470,2001-04-15,6.2200000000000015,21.7375,7.350000000000001
471,2001-04-16,4.069999999999999,10.500000000000002,2.0875
472,2001-04-17,0.97,7.725,-2.2875
473,2001-04-18,0.13,9.2375,-2.425
474,2001-04-19,0.0,15.475,-0.7625
475,2001-04-20,5.64,19.042857142857144,5.557142857142856
476,2001-04-21,1.7400000000000002,20.9625,11.9875
477,2001-04-22,0.69,25.4125,17.0875
478,2001-04-23,3.53,27.0125,16.6
479,2001-04-24,3.53,22.65,6.312499999999999
480,2001-04-25,0.03,15.7625,1.4625
481,2001-04-26,0.0,18.75,2.9000000000000004
482,2001-04-27,0.0,22.625,8.6625
483,2001-04-28,0.0,23.9625,6.0375000000000005
484,2001-04-29,0.0,21.325,3.9625
485,2001-04-30,0.0,24.925,5.625
486,2001-05-01,0.0,28.32857142857143,13.328571428571431
487,2001-05-02,0.2,27.78571428571429,14.457142857142856
488,2001-05-03,0.0,28.557142857142853,13.871428571428574
489,2001-05-04,0.0,29.5,14.071428571428573
490,2001-05-05,0.7333333333333333,27.285714285714285,12.614285714285714
491,2001-05-06,0.8555555555555556,26.742857142857147,12.3
492,2001-05-07,7.666666666666668,27.62857142857143,15.157142857142858
493,2001-05-08,5.777777777777778,25.242857142857147,12.528571428571427
494,2001-05-09,0.16666666666666666,24.45714285714286,10.8
495,2001-05-10,0.0,26.357142857142854,13.385714285714286
496,2001-05-11,0.9333333333333332,27.62857142857143,15.614285714285714
497,2001-05-12,3.611111111111111,23.885714285714286,10.071428571428571
498,2001-05-13,0.0,19.62857142857143,3.6428571428571432
499,2001-05-14,0.36666666666666653,23.4,6.028571428571429
500,2001-05-15,6.033333333333332,26.357142857142854,13.242857142857144
501,2001-05-16,1.4111111111111108,29.37142857142857,15.542857142857144
502,2001-05-17,5.022222222222221,26.828571428571426,17.228571428571428
503,2001-05-18,14.744444444444444,25.714285714285715,16.985714285714288
504,2001-05-19,11.111111111111109,23.8,15.4
505,2001-05-20,0.17777777777777778,24.914285714285718,12.157142857142858
506,2001-05-21,4.422222222222222,24.442857142857147,16.5
507,2001-05-22,2.2666666666666666,21.271428571428565,11.757142857142858
508,2001-05-23,1.8666666666666667,18.728571428571428,8.071428571428571
509,2001-05-24,12.966666666666667,18.81428571428572,8.814285714285715
510,2001-05-25,5.933333333333334,16.82857142857143,8.242857142857142
511,2001-05-26,9.388888888888891,17.45714285714286,8.714285714285715
512,2001-05-27,8.944444444444445,18.642857142857142,9.44285714285714
513,2001-05-28,0.8777777777777778,18.828571428571426,8.557142857142859
514,2001-05-29,1.0666666666666669,22.542857142857148,9.842857142857145
515,2001-05-30,0.3111111111111111,22.057142857142853,9.37142857142857
516,2001-05-31,1.7444444444444445,20.557142857142857,9.357142857142858
517,2001-06-01,7.5299999999999985,17.925,10.6375
518,2001-06-02,6.189999999999999,17.575,10.475
519,2001-06-03,0.99,18.3375,9.4125
520,2001-06-04,3.2299999999999995,17.837500000000006,9.65
521,2001-06-05,7.439999999999999,19.45,11.4
522,2001-06-06,16.04,23.05,14.6
523,2001-06-07,4.6,23.975,15.1375
524,2001-06-08,1.19,24.6625,13.6
525,2001-06-09,0.0,25.475,11.3875
526,2001-06-10,0.0,26.8,13.5375
527,2001-06-11,0.41,29.450000000000006,17.3375
528,2001-06-12,1.8,31.325,18.2625
529,2001-06-13,0.94,31.75,19.2375
530,2001-06-14,0.0,32.787499999999994,20.225
531,2001-06-15,6.659999999999998,32.162499999999994,21.125
532,2001-06-16,8.26,30.425,14.775000000000002
533,2001-06-17,0.0,28.8125,16.0625
534,2001-06-18,0.0,30.2625,17.7
535,2001-06-19,0.33,31.95,18.125
536,2001-06-20,4.73,30.5625,18.3375
537,2001-06-21,15.16,25.3,16.3875
538,2001-06-22,12.05,22.6375,14.15
539,2001-06-23,0.0,23.4625,13.925000000000002
540,2001-06-24,0.25,24.8625,12.7875
541,2001-06-25,0.0,27.4375,13.6625
542,2001-06-26,0.0,28.387500000000006,14.6625
543,2001-06-27,0.38,28.3375,16.9375
544,2001-06-28,0.08,29.15,17.575000000000006
